inputstate,birthyr,gender,sexuality,trans,educ,votereg,race,employ,internethome,internetwork,marstat,pid3,ideo5,pew_bornagain,pew_religimp,pew_churatd,pew_prayer,religpew,child18num,newsint,faminc_new,ownhome,urbancity,immstat,cit1,unionhh,investor,assets_estimate,response_time_minutes,volunteering_index
California,1985,Male,Heterosexual / straight,No,4-year,Yes,Hispanic,Full-time,Broadband,Broadband,Never married,Democrat,Very liberal,No,Not at all important,Seldom,Never,Agnostic,0,Most of the time,"$70,000 - $79,999",Rent,City,I was born in the USA but at least one of my parents is an immigrant,Yes,"No, no one in my household has ever been a member of a labor union",No,63086.0,14.9,0.92
California,1959,Female,Heterosexual / straight,No,High school graduate,Yes,White,Full-time,,Broadband,Married,Republican,Conservative,Yes,Very important,Once or twice a month,Once a day,Protestant,0,Most of the time,"$100,000 - $119,999",Own,Suburb,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",Yes,82939.0,10.3,0.0
Maryland,1958,Female,Heterosexual / straight,No,High school graduate,Yes,White,Retired,Broadband,,Divorced,Democrat,Moderate,No,Somewhat important,Never,Once a day,Roman Catholic,2,Some of the time,"$30,000 - $39,999",Own,Suburb,My parents and I were born in the USA but at least one of my grandparents was an immigrant,Yes,"No, no one in my household has ever been a member of a labor union",No,30724.0,14.5,0.13
Virginia,1981,Female,Heterosexual / straight,No,Post-grad,Yes,White,Full-time,Broadband,Broadband,Married,Independent,Liberal,Yes,Somewhat important,A few times a year,Several times a day,Protestant,2,Some of the time,"$150,000 - $199,999",Own,Suburb,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",Yes,167808.0,8.5,0.0
California,1993,Female,Lesbian / gay woman,No,2-year,Yes,White,Permanently disabled,Broadband,,Never married,Democrat,Very liberal,No,Somewhat important,Once or twice a month,Never,Buddhist,0,Some of the time,Prefer not to say,Rent,Suburb,"My parents, grandparents and I were all born in the USA",Yes,"Yes, a member of my household is currently a union member",No,66808.0,13.2,0.22
California,1987,Male,Bisexual,No,Post-grad,Yes,Asian,Homemaker,Broadband,Broadband,Never married,Independent,Moderate,No,Very important,More than once a week,Several times a day,Roman Catholic,0,Only now and then,"$30,000 - $39,999",Own,Suburb,I was born in the USA but at least one of my parents is an immigrant,Yes,"A member of my household was formerly a member of a labor union, but is not now",No,9471.0,12.2,0.37
New York,1988,Male,Heterosexual / straight,No,4-year,Yes,White,Full-time,Broadband,Broadband,Never married,Republican,Conservative,No,Not too important,A few times a year,Seldom,Agnostic,0,Most of the time,"$120,000 - $149,999",Rent,Town,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",Yes,86964.0,11.6,1.17
Michigan,1947,Male,Heterosexual / straight,No,No HS,Yes,White,Retired,Broadband,,Married,Republican,Conservative,No,Not too important,Seldom,Don't know,Nothing in particular,0,Only now and then,"$20,000 - $29,999",Own,City,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",No,38393.0,14.3,0.6
Virginia,1989,Female,Heterosexual / straight,No,Post-grad,Yes,White,Full-time,Broadband,Broadband,Never married,Democrat,Liberal,No,Not at all important,Never,Never,Agnostic,0,Most of the time,"$50,000 - $59,999",Other,City,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",No,82042.0,7.9,0.0
Pennsylvania,1935,Female,Heterosexual / straight,No,2-year,Yes,White,Retired,Broadband,,Widowed,Democrat,Moderate,No,Not at all important,Seldom,A few times a month,Roman Catholic,0,Most of the time,Prefer not to say,Own,Suburb,My parents and I were born in the USA but at least one of my grandparents was an immigrant,Yes,"Yes, a member of my household is currently a union member",Yes,74270.0,5.6,1.34
