y,inputstate,birthyr,gender,sexuality,trans,educ,votereg,race,employ,internethome,internetwork,marstat,pid3,ideo5,pew_bornagain,pew_religimp,pew_churatd,pew_prayer,religpew,child18num,newsint,faminc_new,ownhome,urbancity,immstat,cit1,unionhh,investor,assets_estimate,response_time_minutes,volunteering_index
0,Washington,1944,Female,Heterosexual / straight,No,High school graduate,Yes,White,Retired,Broadband,,Married,Independent,Moderate,No,Not too important,Seldom,Don't know,Nothing in particular,0,Most of the time,"$10,000 - $19,999",Own,Rural area,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",No,19068.0,19.4,0.64
0,Texas,1990,Male,Heterosexual / straight,No,High school graduate,Yes,Hispanic,Full-time,,,Divorced,Democrat,Liberal,No,Not at all important,Never,Never,Atheist,0,Only now and then,"$80,000 - $99,999",Rent,City,I was born in the USA but at least one of my parents is an immigrant,Yes,"No, no one in my household has ever been a member of a labor union",No,92117.0,10.1,1.28
0,Massachusetts,1935,Male,Heterosexual / straight,No,4-year,Yes,White,Retired,Broadband,,Married,Republican,Very conservative,No,Somewhat important,Seldom,Once a day,Protestant,0,Most of the time,"$120,000 - $149,999",Own,Suburb,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",Yes,185853.0,18.7,0.0
0,Michigan,1940,Male,Heterosexual / straight,No,4-year,Yes,White,Retired,Broadband,,Married,Other,Very conservative,No,Not at all important,Never,Never,Nothing in particular,0,Most of the time,"$40,000 - $49,999",Own,Suburb,My parents and I were born in the USA but at least one of my grandparents was an immigrant,Yes,"No, no one in my household has ever been a member of a labor union",Yes,41921.0,13.2,0.0
0,New York,1959,Female,Heterosexual / straight,No,Post-grad,Yes,White,Part-time,Broadband,Broadband,Divorced,Independent,Moderate,No,Somewhat important,Seldom,A few times a week,Protestant,0,Most of the time,"$80,000 - $99,999",Own,Suburb,I was born in the USA but at least one of my parents is an immigrant,Yes,"No, no one in my household has ever been a member of a labor union",Yes,90788.0,9.0,0.0
1,Connecticut,1982,Male,Heterosexual / straight,No,Post-grad,Yes,White,Full-time,Broadband,Broadband,Married,Democrat,Liberal,No,Not too important,Once or twice a month,Never,Roman Catholic,1,Most of the time,"$120,000 - $149,999",Own,Suburb,"My parents, grandparents and I were all born in the USA",Yes,"Yes, a member of my household is currently a union member",No,118604.0,10.9,0.29
0,Nevada,1940,Male,Heterosexual / straight,No,4-year,Yes,White,Retired,Broadband,,Married,Democrat,Very liberal,No,Not at all important,Never,Seldom,Nothing in particular,0,Most of the time,"$50,000 - $59,999",Own,Suburb,"My parents, grandparents and I were all born in the USA",Yes,"Yes, a member of my household is currently a union member",Yes,47991.0,16.0,1.01
0,Arkansas,1945,Female,Heterosexual / straight,No,2-year,Yes,White,Retired,Broadband,,Married,Republican,Very conservative,Yes,Very important,More than once a week,Several times a day,Protestant,0,Some of the time,"$100,000 - $119,999",Own,Suburb,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",No,97383.0,13.8,0.89
1,New York,1976,Male,Heterosexual / straight,No,High school graduate,Yes,White,Unemployed,Broadband,,Never married,Independent,Moderate,No,Not too important,Never,Seldom,Roman Catholic,0,Some of the time,"$100,000 - $119,999",Other,Town,My parents and I were born in the USA but at least one of my grandparents was an immigrant,Yes,"No, no one in my household has ever been a member of a labor union",Yes,124280.0,9.7,0.0
1,Idaho,1973,Male,Heterosexual / straight,No,High school graduate,Yes,White,Full-time,Broadband,Broadband,Married,Independent,Conservative,No,Not at all important,Never,Seldom,Nothing in particular,1,Most of the time,"$200,000 - $249,999",Own,Town,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",Yes,217248.0,6.9,0.58
1,Tennessee,1973,Female,Heterosexual / straight,No,High school graduate,Yes,White,Permanently disabled,Broadband,,Married,Republican,Very conservative,Yes,Very important,Seldom,Several times a day,Protestant,0,Most of the time,"$50,000 - $59,999",Own,Rural area,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",No,55312.0,12.2,0.55
0,New York,1962,Male,Heterosexual / straight,No,4-year,Yes,White,Full-time,Broadband,Broadband,Married,Democrat,Liberal,No,Not at all important,Never,Never,Protestant,2,Some of the time,"$250,000 - $349,999",Own,Town,I am an immigrant to the USA and a naturalized citizen,Yes,"Yes, a member of my household is currently a union member",Yes,301478.0,12.6,0.01
0,Arkansas,1951,Male,Heterosexual / straight,No,2-year,Yes,White,Retired,Broadband,,Married,Democrat,Moderate,No,Not too important,A few times a year,Never,Agnostic,0,Most of the time,"$100,000 - $119,999",Own,Suburb,My parents and I were born in the USA but at least one of my grandparents was an immigrant,Yes,"No, no one in my household has ever been a member of a labor union",Yes,140619.0,7.4,1.0
1,Arizona,1960,Male,Heterosexual / straight,No,4-year,Yes,White,Full-time,Broadband,Broadband,Never married,Independent,Very liberal,No,Not at all important,Never,Never,Nothing in particular,0,Most of the time,"$80,000 - $99,999",Own,City,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",Yes,96329.0,2.6,0.29
0,Ohio,1972,Male,Heterosexual / straight,No,Some college,Yes,White,Full-time,Broadband,,Divorced,Democrat,Liberal,No,Not at all important,Never,Never,Atheist,0,Most of the time,"$30,000 - $39,999",Rent,Suburb,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",No,19185.0,17.1,0.16
1,Utah,1974,Male,Prefer not to say,No,Some college,Yes,Mixed,Full-time,Broadband,Broadband,Divorced,Independent,Liberal,No,Not at all important,Never,Never,Atheist,0,Most of the time,Prefer not to say,Rent,Suburb,My parents and I were born in the USA but at least one of my grandparents was an immigrant,Yes,"No, no one in my household has ever been a member of a labor union",No,24744.0,6.2,0.0
1,New York,1981,Female,Heterosexual / straight,No,Post-grad,Yes,White,Homemaker,Broadband,,Married,Republican,Conservative,No,Not at all important,Never,Seldom,Protestant,1,Only now and then,"$60,000 - $69,999",Rent,City,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",Yes,50567.0,8.8,0.0
1,Indiana,1981,Female,Heterosexual / straight,No,Post-grad,Yes,Mixed,Full-time,Broadband,Broadband,Married,Republican,Moderate,No,Very important,Once a week,Several times a day,Protestant,1,Some of the time,"$80,000 - $99,999",Own,Suburb,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",Yes,99756.0,9.5,0.0
1,Missouri,1968,Female,Heterosexual / straight,No,4-year,Yes,Native American,Part-time,Broadband,Broadband,Married,Republican,Moderate,Yes,Very important,A few times a year,Several times a day,Protestant,0,Some of the time,"$70,000 - $79,999",Rent,Suburb,"My parents, grandparents and I were all born in the USA",Yes,"A member of my household was formerly a member of a labor union, but is not now",No,53832.0,12.1,1.65
0,Montana,1958,Female,Heterosexual / straight,No,Some college,Yes,White,Other,,Broadband,Widowed,Republican,Very conservative,Yes,Very important,Once or twice a month,Several times a day,Something else,0,Most of the time,"$20,000 - $29,999",Own,Rural area,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",No,52569.0,12.9,1.04
0,Idaho,1963,Female,Heterosexual / straight,No,High school graduate,Yes,White,Retired,Broadband,Broadband,Married,Republican,Conservative,No,Very important,Once a week,Once a day,Mormon,0,Some of the time,"$30,000 - $39,999",Own,Rural area,My parents and I were born in the USA but at least one of my grandparents was an immigrant,Yes,"No, no one in my household has ever been a member of a labor union",Yes,85868.0,8.8,0.19
0,Alabama,1995,Male,Heterosexual / straight,No,High school graduate,No,Black,Part-time,,,Never married,Democrat,Moderate,No,Very important,Seldom,A few times a week,Protestant,0,Only now and then,"$10,000 - $19,999",Rent,Rural area,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",No,17970.0,,1.81
0,Texas,1954,Female,Heterosexual / straight,Yes,High school graduate,Yes,Hispanic,Retired,Broadband,Broadband,Married,Democrat,Very conservative,No,Somewhat important,A few times a year,Don't know,Roman Catholic,0,Most of the time,"$50,000 - $59,999",Own,Rural area,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",No,56188.0,19.2,0.0
1,New York,1992,Male,Heterosexual / straight,No,4-year,Yes,White,Full-time,Broadband,Broadband,Never married,Independent,Conservative,No,Not at all important,Never,Never,Atheist,0,Most of the time,"$40,000 - $49,999",Rent,Suburb,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",No,24113.0,5.0,0.88
0,Florida,1958,Male,Heterosexual / straight,No,High school graduate,Yes,White,Retired,Broadband,,Married,Republican,Conservative,No,Not at all important,Never,Never,Nothing in particular,0,Only now and then,"$60,000 - $69,999",Own,Suburb,"My parents, grandparents and I were all born in the USA",Yes,"Yes, a member of my household is currently a union member",No,59327.0,19.3,0.74
0,Florida,1951,Female,Heterosexual / straight,No,Some college,Yes,White,Part-time,Broadband,,Married,Republican,Not sure,Yes,Very important,Seldom,Several times a day,Protestant,0,Only now and then,Prefer not to say,Own,Suburb,I was born in the USA but at least one of my parents is an immigrant,Yes,"No, no one in my household has ever been a member of a labor union",No,67480.0,20.8,0.65
0,Michigan,1995,Female,Heterosexual / straight,No,4-year,Yes,White,Full-time,Broadband,Broadband,Married,Republican,Conservative,Yes,Somewhat important,Once a week,Several times a day,Protestant,2,Some of the time,"$70,000 - $79,999",Own,Suburb,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",Yes,133496.0,8.0,0.0
0,Mississippi,1954,Male,Heterosexual / straight,No,Post-grad,Yes,White,Full-time,Broadband,Broadband,Married,Democrat,Moderate,Yes,Very important,Once a week,Several times a day,Protestant,0,Most of the time,Prefer not to say,Own,Town,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",Yes,38074.0,16.4,0.98
1,North Carolina,1954,Female,Heterosexual / straight,No,Post-grad,Yes,White,Permanently disabled,Broadband,,Married,Democrat,Very liberal,No,Not at all important,Never,Never,Atheist,0,Most of the time,"$30,000 - $39,999",Own,Rural area,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",No,70915.0,13.3,0.11
1,Texas,1994,Female,Heterosexual / straight,No,High school graduate,Yes,Hispanic,Full-time,,,Never married,Democrat,Not sure,Yes,Very important,A few times a year,Once a week,Nothing in particular,0,Only now and then,"$10,000 - $19,999",Rent,City,My parents and I were born in the USA but at least one of my grandparents was an immigrant,Yes,"No, no one in my household has ever been a member of a labor union",No,41656.0,8.8,0.9
1,Kentucky,1976,Female,Bisexual,No,High school graduate,Yes,White,Homemaker,,,Domestic / civil partnership,Republican,Conservative,No,Not at all important,Never,Seldom,Atheist,0,Some of the time,"$80,000 - $99,999",Own,Suburb,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",No,67365.0,8.1,0.0
0,Indiana,1935,Male,Heterosexual / straight,No,4-year,Yes,White,Retired,Broadband,,Married,Independent,Moderate,No,Not too important,Seldom,Seldom,Protestant,0,Most of the time,"$40,000 - $49,999",Rent,Town,My parents and I were born in the USA but at least one of my grandparents was an immigrant,Yes,"No, no one in my household has ever been a member of a labor union",Yes,52486.0,16.5,0.0
